log_id,user_id,session_id,timestamp,date,country,city,device_type,browser,service_name,request_type,traffic_source,campaign_name,campaign_type,customer_segment,subscription_type,engagement_score,time_on_page_seconds,pages_visited,bounce_rate,demo_requested,event_registered,ai_assistant_used,sale_confirmed,revenue,profit,customer_value,service_rating,renewal_status,response_time_ms,response_code,error_flag,sales_target
104242,U104242,S593330,2026-04-29 01:21:04,2026-04-29,South Africa,Cape Town,Tablet,Safari,AI Cyber Assistant,Event Registration,LinkedIn Ads,Banking Cyber Resilience,Email Campaign,SME,Enterprise,67,84,14,0.8,0,1,0,0,0,0.0,2040,2.5,Renewed,1097,200,0,5723.1
199677,U199677,S736356,2026-03-23 08:26:29,2026-03-23,Rwanda,Kigali,Desktop,Edge,Digital Infrastructure Prototyping,Product Inquiry,Direct,Banking Cyber Resilience,Email Campaign,Technology Partner,Basic,40,735,14,0.81,0,0,0,0,0,0.0,1500,3.1,Pending,881,301,1,19212.72
140200,U140200,S634995,2026-01-22 00:18:47,2026-01-22,Botswana,Gaborone,Mobile,Firefox,Digital Infrastructure Prototyping,Schedule Demo,Facebook,Threat Monitoring Promo,Referral Campaign,Technology Partner,Basic,61,55,2,0.66,1,0,0,0,0,0.0,1320,2.5,Pending,342,400,1,24703.6
132815,U132815,S725411,2026-03-25 18:30:07,2026-03-25,Mozambique,Beira,Tablet,Firefox,Predictive System Maintenance,Pricing Request,Facebook,Banking Cyber Resilience,Webinar,Government Agency,Enterprise,90,71,4,0.25,0,0,0,0,0,0.0,2000,2.9,At Risk,331,200,0,19773.32
408698,U408698,S956387,2026-04-12 12:52:34,2026-04-12,Ghana,Kumasi,Laptop,Chrome,Automated Risk Assessment,AI Assistant Query,Referral,Government Digital Safety,Awareness Campaign,Financial Institution,Enterprise,66,344,6,0.58,0,0,1,0,0,0.0,1620,3.4,At Risk,648,301,1,8982.25
163281,U163281,S515592,2026-01-24 22:22:06,2026-01-24,Zimbabwe,Harare,Tablet,Chrome,Predictive System Maintenance,AI Assistant Query,LinkedIn Ads,CyberShield Launch,Referral Campaign,Government Agency,Basic,95,76,1,0.52,1,0,1,0,0,0.0,1950,3.9,At Risk,668,403,1,15126.67
215759,U215759,S986963,2026-01-07 23:52:12,2026-01-07,Zimbabwe,Bulawayo,Tablet,Firefox,Digital Infrastructure Prototyping,Schedule Demo,Referral,Banking Cyber Resilience,Search Ads,Government Agency,Professional,80,122,5,0.13,1,0,0,0,0,0.0,1850,4.1,Renewed,772,403,1,21573.45
442317,U442317,S462099,2026-03-05 13:16:35,2026-03-05,Zambia,Ndola,Mobile,Safari,Predictive System Maintenance,Technical Support,LinkedIn Ads,Threat Monitoring Promo,Search Ads,Government Agency,Professional,35,828,3,0.62,1,0,0,0,0,0.0,850,1.5,Pending,485,200,0,18772.32
6941,U006941,S776637,2026-01-15 23:25:04,2026-01-15,Zambia,Lusaka,Laptop,Edge,Real-Time Threat Monitoring,Schedule Demo,Organic Search,Threat Monitoring Promo,Awareness Campaign,Government Agency,Professional,32,546,6,0.44,1,0,0,0,0,0.0,940,2.6,Not Applicable,928,200,0,12658.73
382311,U382311,S232815,2026-02-11 14:16:24,2026-02-11,Zambia,Ndola,Mobile,Firefox,Predictive System Maintenance,AI Assistant Query,Google Ads,AI Assistant Webinar,Awareness Campaign,Financial Institution,Enterprise,79,534,14,0.81,0,0,1,0,0,0.0,2280,2.5,Renewed,953,200,0,20460.33
472237,U472237,S880758,2026-04-26 17:49:25,2026-04-26,Zimbabwe,Harare,Desktop,Safari,Predictive System Maintenance,Pricing Request,Email Campaign,Threat Monitoring Promo,Awareness Campaign,SME,Free Trial,68,475,14,0.44,1,0,1,0,0,0.0,2060,2.0,Not Applicable,706,500,1,19399.64
309087,U309087,S724141,2026-03-05 00:22:15,2026-03-05,South Africa,Durban,Mobile,Safari,Digital Infrastructure Prototyping,Technical Support,LinkedIn Ads,Banking Cyber Resilience,Awareness Campaign,Technology Partner,Free Trial,77,310,3,0.31,0,0,1,0,0,0.0,1690,4.3,Not Applicable,768,200,0,19275.84
230673,U230673,S314262,2026-03-14 05:32:49,2026-03-14,Botswana,Palapye,Laptop,Safari,AI Cyber Assistant,Product Inquiry,Google Ads,SME Security Awareness,Search Ads,SME,Professional,27,110,5,0.81,0,0,0,0,0,0.0,790,2.9,Pending,918,200,0,8343.91
